@RELATION Planes2D

@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE target NUMERIC

@DATA
-1,1,0,1,-1,1,0,0,0,1,-2.9055038487702163
1,0,1,1,-1,-1,-1,1,1,-1,5.201142791859782
-1,0,1,0,1,-1,1,1,0,1,0.10514843409739871
-1,1,0,1,1,1,-1,0,-1,-1,2.3051573542067043
1,-1,-1,1,-1,1,0,1,0,-1,0.820573846513168
1,-1,-1,1,-1,0,1,-1,0,1,-0.12562805898371
1,-1,0,0,-1,0,-1,0,-1,1,-0.6457205009337167
1,0,1,-1,0,0,-1,1,0,-1,3.33174729635522
-1,0,0,1,0,1,0,-1,-1,1,-0.658610562825404
1,1,1,1,1,1,1,1,-1,0,8.971378154803629
1,1,0,-1,0,0,-1,1,-1,-1,4.332614514716409
1,1,1,0,0,0,0,0,0,0,7.990380381502339
-1,1,-1,-1,0,1,0,0,1,-1,-2.211723316654424
1,0,0,0,0,1,0,-1,1,-1,3.80786276004725
1,-1,1,1,1,0,0,1,0,0,3.9114942271702047
1,0,1,0,1,1,-1,-1,-1,0,4.505822587895809
-1,-1,0,1,1,-1,-1,1,1,0,-4.1876050683741015
-1,-1,0,-1,1,1,1,1,-1,-1,3.1920069405476212
-1,1,0,-1,1,0,0,1,0,-1,-0.6733136169544588
-1,1,0,-1,0,0,1,0,1,-1,-1.5205967128707143
1,0,-1,-1,1,1,0,1,0,-1,-1.53561142804371
1,1,1,1,1,0,-1,0,0,-1,9.311695721666773
-1,1,-1,0,1,1,0,1,1,1,2.7838058354177626
1,1,0,1,1,0,1,1,1,0,6.49359306799537
1,1,-1,1,-1,0,1,-1,0,1,5.155713568490805
-1,0,0,0,0,1,1,-1,-1,-1,0.5596126918649947
1,0,0,1,1,0,0,0,0,-1,3.1913247341806565
1,0,-1,0,-1,-1,-1,0,0,-1,0.3041414970485935
1,0,1,0,1,0,1,0,0,0,4.5609838590628335
1,-1,1,0,0,1,0,-1,-1,-1,2.154911546500742
-1,-1,0,-1,0,-1,0,1,1,-1,-4.452179619866606
-1,-1,0,1,-1,1,-1,1,0,0,-3.610799695517118
-1,1,1,1,0,1,1,-1,0,1,0.422932877395538
1,-1,0,1,-1,-1,1,1,-1,0,1.7758575501811626
1,0,-1,1,0,-1,-1,0,1,1,2.7641330236127053
-1,-1,1,0,0,1,1,0,0,1,0.9913523017923414
-1,1,0,0,-1,-1,1,1,0,1,-7.768920288297214
1,-1,1,1,0,0,-1,-1,1,0,2.9041541697253526
-1,-1,0,-1,0,1,1,1,-1,1,0.7459666605723414
-1,0,0,0,0,1,0,0,0,-1,-2.3518542428858793
-1,0,-1,1,-1,1,1,1,0,1,-2.989451614568036
-1,-1,1,0,1,1,-1,1,-1,0,0.1784877861835117
-1,-1,-1,1,0,-1,-1,1,1,1,-6.796577962734526
-1,1,-1,1,-1,-1,1,-1,1,1,-7.4601047414783555
1,-1,-1,0,1,-1,-1,1,-1,0,-2.7240489163409074
1,0,1,1,1,0,-1,-1,0,0,6.486477031015963
-1,1,1,-1,0,-1,-1,1,-1,0,-5.416136498354777
1,-1,0,1,-1,0,-1,-1,-1,0,-0.10728383149740917
-1,-1,1,0,0,-1,1,0,-1,0,-2.850992211118241
-1,1,0,0,-1,1,1,1,1,1,-4.029425000901197
1,0,-1,1,0,1,-1,-1,1,1,2.1591644357751574
-1,-1,-1,-1,0,0,1,-1,0,1,-2.161202381022188
1,-1,0,1,-1,1,0,-1,1,1,2.218475186969861
1,1,1,1,1,1,1,-1,1,0,8.498380585570983
-1,1,-1,1,-1,0,0,0,0,-1,-5.821137794451451
-1,0,0,0,-1,1,-1,0,0,1,-5.550697816941881
-1,1,-1,1,-1,0,1,1,-1,0,-6.3167300114621865
-1,0,1,1,0,0,0,0,0,1,-3.4440969003397806
-1,1,1,1,-1,-1,-1,1,-1,1,-8.891868720257639
1,1,0,1,1,0,0,1,-1,1,7.082240445412313
1,-1,-1,-1,1,0,0,1,0,0,-1.7170588313846102
-1,1,0,0,0,0,0,0,0,1,-2.897193551719926
-1,-1,0,1,-1,1,-1,1,1,1,-3.632216322303845
1,0,1,-1,1,-1,0,-1,0,1,4.311591603085063
-1,-1,-1,0,0,1,-1,1,0,1,-2.5356817266510174
1,0,0,1,1,1,-1,0,0,0,2.7433495542045474
1,-1,-1,-1,0,0,-1,-1,1,-1,-3.339743613124934
-1,0,0,1,1,0,-1,-1,1,-1,-0.8160265497375071
1,1,1,1,-1,1,1,0,-1,1,8.93608320410207
-1,0,-1,1,-1,0,1,-1,-1,1,-2.6657340115874226
-1,0,1,-1,1,-1,0,-1,-1,1,-3.002659140019554
-1,1,1,1,1,1,1,-1,-1,0,3.092738200474771
-1,0,-1,1,-1,1,0,-1,1,-1,-4.494981878306835
-1,-1,0,0,0,1,0,-1,1,-1,0.5620762852333983
1,1,1,0,1,0,1,-1,1,0,7.86337019951157
1,-1,0,0,0,-1,0,1,0,-1,0.26621987526711166
1,0,-1,0,0,0,0,0,0,1,-0.36932910509218075
1,-1,-1,-1,0,-1,-1,-1,1,1,-3.920712842675535
-1,1,-1,1,0,0,1,-1,-1,1,-2.8476345331267927
-1,-1,1,-1,-1,1,0,0,0,1,-3.124238434509694
-1,-1,0,-1,0,-1,1,1,0,0,-2.9752058292207644
-1,-1,0,1,-1,0,0,1,0,-1,-6.839406365376866
1,-1,0,1,1,-1,1,0,0,0,0.9244576170101987
-1,-1,0,-1,-1,1,-1,-1,0,1,-6.414292299295955
1,-1,1,-1,0,1,1,-1,1,1,0.14550336900538263
1,1,-1,1,-1,-1,1,0,1,0,4.304550928847707
-1,1,-1,1,1,1,1,-1,0,0,2.797969577066447
1,0,0,0,-1,1,-1,-1,1,-1,2.70967310863445
-1,0,1,1,0,-1,-1,-1,1,1,-5.913532874783286
-1,0,0,-1,-1,1,1,-1,1,0,-3.6563387607360496
1,1,1,-1,0,-1,0,-1,1,-1,6.909411152942358
-1,0,0,-1,1,1,-1,1,0,-1,2.7832053938865497
1,0,0,0,0,-1,1,0,-1,0,2.922344044291907
1,1,1,0,-1,1,1,1,0,-1,9.16343569540754
1,0,0,1,-1,1,1,-1,-1,1,2.680699095166055
-1,-1,0,0,0,1,-1,1,0,1,-0.09832146572197686
-1,1,0,0,1,1,-1,-1,0,0,1.9563866583814749
-1,-1,1,-1,1,-1,0,0,1,0,-0.5681508132693636
1,1,0,-1,1,-1,1,-1,0,0,2.0292315621510912
1,1,1,-1,-1,1,-1,0,0,-1,7.887430401752417
1,-1,-1,-1,0,1,0,-1,1,1,-2.098224910572731
1,-1,1,-1,1,0,0,0,1,-1,2.7896941233485197
-1,-1,0,0,1,-1,1,-1,1,1,-0.5969832802779292
1,-1,-1,-1,-1,1,-1,1,1,-1,-3.196927348653535
-1,0,0,0,1,1,0,-1,1,-1,0.9103079713770206
-1,0,-1,-1,0,1,-1,-1,-1,-1,-2.60980060545294
-1,-1,0,0,-1,0,1,0,0,0,-5.093849556875116
-1,-1,1,-1,-1,1,1,0,1,0,-3.7182430938571573
1,-1,-1,1,1,1,1,1,0,1,-1.6225731971203428
1,0,-1,1,0,-1,1,1,0,1,0.8352868768895862
1,1,1,1,1,0,1,0,-1,0,8.507977652316196
1,1,0,1,1,0,0,0,-1,1,7.080821482490519
1,0,-1,1,0,-1,1,0,0,1,0.2566661427595458
-1,0,0,-1,1,-1,0,-1,0,1,-2.0427316734670553
-1,0,0,0,1,-1,-1,1,-1,0,-3.854405771575274
-1,1,1,-1,-1,1,0,0,1,0,-3.720076074424007
-1,1,1,1,1,0,0,0,0,0,2.5460926943592366
1,-1,-1,0,-1,1,-1,1,-1,1,-1.748407984134928
1,-1,1,-1,1,0,1,1,0,-1,2.5602225927541706
1,0,0,-1,1,-1,-1,0,0,1,1.0188877725437442
1,0,1,-1,1,1,0,1,1,0,5.5060746652442925
1,-1,0,-1,1,0,-1,1,-1,1,-1.0218809642181084
1,0,0,-1,-1,-1,1,1,1,1,0.3365277545108323
-1,-1,0,-1,-1,-1,-1,1,-1,0,-9.224103345941083
-1,-1,-1,-1,1,0,0,-1,1,-1,-1.9436877452613615
-1,0,-1,0,0,1,1,1,0,-1,0.40914626152699424
-1,-1,1,1,0,-1,0,0,0,-1,-4.091176371291702
-1,1,-1,1,1,-1,-1,-1,-1,-1,-3.60476814447349
-1,0,1,-1,-1,0,-1,-1,-1,1,-5.2928295335527284
1,0,-1,1,-1,0,-1,-1,1,-1,2.4925342730540616
-1,-1,1,-1,0,1,0,1,0,-1,-0.5421513736341272
-1,1,0,-1,0,0,0,0,1,1,-4.114548184727306
-1,0,-1,0,0,-1,1,1,-1,-1,-2.9851882355662847
-1,0,0,1,0,0,0,0,0,0,-3.5998623387618176
1,1,-1,0,-1,0,-1,0,1,-1,4.805414447521484
-1,-1,0,1,1,-1,-1,-1,-1,1,-3.022884526064223
1,-1,0,0,0,-1,0,-1,1,0,0.9377857914937058
1,-1,-1,1,0,-1,1,-1,0,1,-0.6975888780511884
-1,1,0,1,0,1,0,1,1,1,-0.9324567855561321
1,0,1,-1,-1,0,-1,0,1,1,4.670319964223987
-1,0,0,1,0,-1,0,-1,-1,0,-5.150136217573592
-1,-1,-1,-1,-1,0,1,0,-1,-1,-4.881374878516293
1,0,1,1,0,-1,1,0,-1,0,6.855712748670358
-1,0,-1,-1,-1,-1,-1,-1,-1,0,-9.207067647606133
1,-1,1,-1,1,1,-1,-1,0,1,1.2412706847744754
-1,1,0,-1,1,1,1,1,-1,-1,2.538390921602264
-1,-1,0,0,1,0,-1,0,-1,1,0.04697957748781012
1,1,1,1,1,0,1,0,1,-1,7.971025603861123
-1,0,-1,1,1,0,-1,-1,0,-1,-0.8760493243064228
1,0,0,0,0,0,-1,0,-1,1,2.8742507691693167
1,1,-1,0,0,1,1,1,0,1,4.479941638997121
1,1,0,1,-1,0,-1,0,-1,0,5.97234888882259
-1,0,0,-1,0,1,-1,-1,1,1,-0.7066642657538684
-1,-1,1,-1,-1,1,1,0,1,0,-3.694946261721358
-1,1,1,0,0,-1,0,1,1,1,-7.1202866791652415
1,-1,1,1,0,-1,1,0,0,0,3.112951840650786
1,-1,0,0,-1,-1,-1,0,-1,0,1.4345154847809987
1,-1,1,0,0,-1,1,-1,1,-1,1.4388872436887303
-1,0,0,-1,0,0,-1,-1,0,-1,-3.7944258636125765
-1,1,1,1,0,-1,1,1,0,0,-5.2235601447946545
-1,1,1,1,0,1,-1,0,1,-1,-1.6692755007044147
-1,0,-1,0,0,1,1,1,1,-1,-0.7930611002550764
1,0,-1,-1,-1,1,-1,-1,1,0,-0.7274130969288591
-1,0,0,-1,0,0,1,1,-1,1,-1.0594048120727857
1,0,0,0,0,-1,1,0,-1,-1,5.557908590483287
-1,1,-1,1,-1,0,0,0,0,1,-5.732993522380288
1,0,0,0,0,1,-1,-1,0,1,3.1982319056168382
1,1,1,0,1,-1,0,-1,0,-1,7.452814187447022
-1,0,1,-1,-1,1,-1,0,-1,0,-5.4585861922622145
-1,0,1,0,0,0,-1,0,0,1,-5.5473999864377515
1,1,1,0,0,0,-1,-1,0,-1,8.553038045743243
1,-1,0,-1,1,-1,1,0,0,0,0.22064125789846756
1,1,1,0,1,1,0,0,0,1,7.6159558342405775
1,1,-1,-1,-1,1,-1,1,-1,-1,3.4152759900399254
-1,0,0,-1,0,0,0,1,1,1,-5.13111429802721
1,-1,0,-1,0,0,1,0,1,-1,0.44961368900096677
1,1,1,-1,-1,-1,1,0,0,-1,7.076424601528318
1,-1,0,-1,0,-1,0,-1,-1,1,-0.5313876357496274
-1,0,-1,0,0,0,1,1,1,1,-3.7853840912734027
1,-1,-1,-1,-1,1,-1,-1,-1,0,-3.4541237590161775
-1,0,1,1,1,1,0,1,-1,-1,1.7316226362167457
1,-1,-1,-1,1,0,1,0,-1,1,-1.9572280778919917
-1,-1,0,1,-1,0,1,0,-1,0,-4.340444918892816
1,-1,1,0,-1,1,-1,-1,1,-1,1.8534517896878815
1,1,-1,-1,-1,-1,0,0,-1,0,2.1612999620219706
1,1,0,-1,0,0,1,0,0,0,2.607874315338206
-1,-1,-1,-1,-1,-1,-1,-1,1,0,-7.9861571150195045
1,1,0,1,-1,-1,-1,1,-1,-1,5.410912596171652
1,-1,-1,1,1,0,0,0,1,1,-0.2544909168463527
-1,1,0,-1,1,1,0,1,-1,0,3.474008897799066
-1,0,-1,-1,0,-1,-1,0,-1,0,-4.663358996719294
-1,0,-1,1,0,-1,0,1,1,1,-3.9794564746637793
1,1,1,1,0,-1,1,0,0,1,9.711220573371437
1,0,-1,-1,-1,1,1,1,0,-1,0.3889969835471079
-1,-1,1,1,1,-1,-1,1,0,-1,-2.731416829101154
-1,0,0,1,-1,1,0,1,0,0,-5.033018792922104
-1,0,1,0,0,-1,0,0,0,0,-6.072949242397753
-1,0,1,-1,1,1,0,0,0,1,1.256809181420778
1,1,1,0,1,1,1,0,0,1,7.528971519883902
-1,0,-1,-1,-1,0,-1,0,0,0,-6.692904801478602
1,-1,-1,1,-1,0,-1,0,0,1,-2.209967052228089
1,1,0,-1,1,-1,1,-1,0,1,5.648647385883476
1,-1,1,0,1,1,1,-1,1,0,0.3709989188343621
-1,-1,1,0,1,1,1,1,1,1,3.9792189950285604
1,1,0,1,1,-1,-1,-1,-1,1,6.523303175391007
-1,-1,-1,1,1,0,-1,-1,1,-1,-0.9032463278127012
1,1,1,0,0,1,-1,0,1,-1,8.693320645441581
-1,1,0,-1,-1,0,1,0,0,0,-6.677034448708232
-1,-1,1,-1,1,0,0,0,0,1,0.7068170277548952
-1,-1,-1,-1,-1,0,-1,0,0,-1,-6.887879796252571
1,-1,0,1,1,1,-1,0,0,0,1.569422985531289
1,-1,-1,1,1,0,1,-1,0,0,-1.2164091639360324
-1,0,1,-1,0,1,1,0,-1,1,-0.04880171736231073
1,-1,-1,-1,0,1,-1,-1,0,0,-3.6401996423405243
1,0,1,0,-1,1,0,-1,0,-1,2.697841339619033
-1,0,0,1,0,1,-1,-1,1,0,-3.0382397389614955
-1,0,-1,1,1,1,0,1,1,-1,2.139233180234527
-1,0,0,0,-1,0,-1,-1,0,1,-6.766111274882235
-1,1,0,0,-1,1,-1,0,-1,0,-5.043239862605939
-1,-1,1,-1,0,-1,0,1,-1,0,-4.95421445896973
-1,1,0,0,0,-1,1,0,1,0,-4.373508668670492
1,-1,1,0,1,-1,0,1,-1,-1,0.9671711330808848
1,0,1,0,1,0,1,-1,1,0,3.837526429141323
1,1,-1,-1,-1,-1,-1,0,0,-1,4.190110851373227
-1,0,0,1,-1,-1,-1,0,-1,0,-7.602439376148322
-1,1,0,-1,1,1,0,1,1,0,1.805105710266269
-1,-1,1,0,1,1,0,-1,1,-1,2.322583968777139
1,0,1,-1,-1,-1,-1,0,-1,1,2.2835730536309056
1,0,0,0,-1,-1,-1,1,0,-1,1.6433127203944848
-1,-1,0,0,1,0,-1,-1,1,-1,-0.7695924175798384
-1,1,1,1,1,-1,0,1,-1,1,-1.3836107621326537
-1,0,-1,1,-1,-1,-1,-1,-1,-1,-9.560647882123655
1,-1,0,-1,1,0,0,0,1,0,0.18527249953587033
1,1,1,1,0,0,-1,-1,0,1,7.30653156626186
-1,1,-1,1,-1,0,-1,-1,0,0,-5.668841645273878
-1,0,1,1,0,1,-1,1,-1,-1,-3.1812961710393584
1,1,-1,-1,-1,0,1,0,0,1,2.5716145457278414
-1,1,0,-1,1,1,1,1,-1,-1,3.9740769286053563
-1,1,0,0,-1,-1,-1,-1,1,1,-8.399457646097655
1,0,-1,-1,1,0,1,-1,1,0,0.25257414347253065
1,1,0,0,1,1,0,0,1,-1,5.740564254013341
1,0,0,0,0,1,-1,0,1,-1,3.8465943181428015
1,-1,-1,0,1,0,-1,0,-1,1,-0.17511280821321207
-1,0,0,1,-1,0,1,-1,0,1,-6.366060510044891
1,-1,1,-1,0,1,0,1,0,1,0.7925710167452779
-1,0,1,0,-1,1,0,-1,0,0,-3.584989579396329
-1,-1,0,1,-1,-1,0,0,0,1,-7.934795220070546
1,1,0,1,1,-1,1,0,1,-1,7.240104729368456
-1,0,-1,0,0,-1,1,0,1,1,-4.107646246252129
1,-1,0,0,-1,-1,0,1,1,-1,1.1855787703692238
1,-1,-1,-1,-1,0,-1,-1,0,-1,-2.8281238243827316
1,1,1,1,-1,-1,0,-1,0,1,6.494185742967453
-1,-1,1,1,0,0,0,1,0,0,-3.302575156242577
1,0,1,-1,-1,0,1,1,0,-1,4.472465665896228
-1,0,0,1,0,0,0,1,0,0,-3.3554901317966355
1,0,-1,0,1,1,1,1,1,-1,0.8192525304683436
-1,0,1,0,-1,0,1,0,0,-1,-3.052865823258009
-1,0,-1,-1,-1,-1,0,-1,-1,-1,-6.955111448762301
1,-1,-1,0,-1,1,0,1,1,-1,-1.2916938970746081
1,1,0,-1,0,0,0,1,0,0,6.601568692712425
1,1,0,0,0,1,1,1,0,1,6.915076163103293
1,-1,-1,-1,0,0,0,-1,1,1,-2.7660119183743075
-1,-1,1,1,-1,1,-1,0,1,-1,-5.842898903690413
1,1,1,1,1,-1,-1,0,-1,1,9.652511126250133
1,0,1,-1,1,-1,-1,0,-1,-1,4.771836528156796
-1,0,0,1,1,0,0,1,0,0,0.33331157991614707
-1,-1,1,1,0,-1,-1,-1,-1,-1,-6.241086531254406
-1,0,-1,1,0,0,1,1,1,0,-2.634139685254527
1,1,0,-1,1,0,0,-1,-1,1,3.1212937310804634
1,-1,1,1,-1,1,1,0,1,-1,2.568682528333449
-1,1,1,0,0,1,-1,1,0,1,-0.33795151746955
1,1,1,-1,1,1,0,1,1,1,7.835858069108359
-1,1,-1,-1,1,1,0,0,-1,0,2.5862644747530767
-1,-1,0,1,1,1,0,1,-1,1,1.1816808514516128
1,1,1,-1,0,1,1,0,-1,0,7.160568335389814
-1,0,0,1,1,1,-1,1,1,-1,-0.9642394796665252
1,0,0,0,1,-1,1,1,0,-1,1.4729430935825267
1,0,0,-1,0,-1,-1,1,-1,0,3.057635896323141
-1,-1,-1,-1,-1,-1,1,-1,1,1,-7.368075581470656
-1,-1,0,0,-1,0,-1,-1,0,1,-7.505695071095512
1,-1,0,1,0,1,1,1,-1,0,0.4998388138183245
-1,1,-1,-1,1,0,-1,0,-1,-1,-0.7845414754471793
1,1,0,1,1,0,0,0,-1,1,6.774028374265711
-1,0,1,1,-1,1,1,1,-1,0,-2.2466456466872007
1,1,-1,0,-1,0,0,-1,0,1,3.215916771512653
-1,1,-1,1,-1,-1,1,0,0,1,-5.963383442542855
1,1,0,-1,0,-1,1,0,1,1,6.066264463940056
1,-1,-1,-1,1,-1,0,0,0,-1,-1.279995574324506
-1,0,0,-1,1,0,-1,-1,-1,0,-1.022691672953658
1,-1,-1,1,0,1,1,-1,-1,-1,-1.2690741654229745
1,0,1,0,1,-1,-1,-1,0,0,6.886928382942532
-1,0,-1,-1,1,-1,0,1,-1,-1,-2.858221592356134
1,-1,-1,-1,0,0,1,0,1,0,-2.5704654421333446
1,1,1,0,0,1,0,0,1,-1,10.044976059731283
1,-1,1,0,0,0,1,-1,-1,1,1.0230222495653396
-1,-1,1,-1,1,0,0,0,0,1,1.0051818549200946
-1,0,1,0,0,-1,0,1,-1,1,-4.971155156394758
1,-1,1,0,1,-1,0,0,-1,0,2.5336272248459766
1,-1,0,0,1,0,-1,0,-1,0,-1.0768164361695791
1,0,0,0,-1,0,0,0,-1,0,1.8639408350567601
1,1,-1,0,-1,-1,1,-1,0,-1,4.97319954830817
1,-1,0,-1,1,1,1,0,-1,-1,-1.7826851459698014
1,1,-1,1,-1,-1,0,-1,1,0,6.161300355976397
-1,-1,1,0,1,1,-1,0,0,1,1.1434501668331374
1,1,1,1,-1,0,0,0,-1,-1,9.242409912079227
1,0,1,1,0,1,-1,1,1,1,7.5122434433071215
1,1,-1,-1,1,0,-1,1,0,1,3.9455027203395026
1,-1,0,-1,0,-1,0,-1,-1,1,-1.0180517872969606
1,0,-1,0,-1,0,-1,0,1,-1,2.0913890134137163
-1,-1,1,0,1,-1,1,1,0,-1,-1.133079204454207
1,-1,1,1,-1,-1,-1,1,1,1,2.098351470824669
1,1,1,1,-1,-1,0,1,-1,1,10.03629633234446
-1,-1,1,0,1,0,-1,-1,-1,-1,-0.9724587011320407
1,1,1,0,1,1,0,-1,1,1,7.963882737489902
1,1,0,1,-1,1,1,0,0,1,7.991317852704645
1,1,1,-1,-1,1,1,-1,-1,-1,6.737070023701593
-1,-1,1,1,-1,1,-1,0,0,0,-3.3840637901327932
-1,1,0,0,-1,-1,-1,1,0,0,-9.618945583090243
1,0,1,-1,0,0,0,0,1,-1,5.851036130198116
1,-1,0,-1,-1,0,-1,0,-1,0,-0.812483552098969
1,-1,1,1,1,0,0,0,0,0,2.7831465223093663
1,-1,1,0,0,0,-1,-1,1,-1,1.3953571427394111
1,1,0,-1,0,-1,0,1,-1,-1,2.8691647980554382
-1,1,0,0,-1,1,-1,-1,1,-1,-5.311688668832041
1,-1,0,1,0,1,-1,-1,1,-1,0.1732868023206715
-1,-1,-1,0,1,-1,-1,0,0,-1,-2.185534854522551
-1,-1,-1,1,-1,1,0,0,-1,-1,-3.7101354037342555
-1,-1,1,0,-1,0,1,0,-1,1,-3.920124015661573
-1,-1,1,-1,-1,-1,1,1,1,-1,-6.537180306236511
1,-1,1,0,-1,0,1,0,-1,1,1.0267672267186092
-1,-1,1,1,-1,0,1,0,0,-1,-5.435355725615797
1,1,1,0,0,1,1,-1,-1,-1,9.98990576687193
